Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
RDchip,STRENGTH_TRAINING,12-02-2020,08:14:34,01:01:49,0.00,132,,,,,566,17,,,,,,,,,back and triceps ,,,,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,87,,,,,,,,,
,00:00:01,87,,,,,,,,,
,00:00:02,87,,,,,,,,,
,00:00:03,87,,,,,,,,,
,00:00:04,89,,,,,,,,,
,00:00:05,90,,,,,,,,,
,00:00:06,91,,,,,,,,,
,00:00:07,91,,,,,,,,,
,00:00:08,91,,,,,,,,,
,00:00:09,91,,,,,,,,,
,00:00:10,91,,,,,,,,,
,00:00:11,91,,,,,,,,,
,00:00:12,91,,,,,,,,,
,00:00:13,91,,,,,,,,,
,00:00:14,91,,,,,,,,,
,00:00:15,92,,,,,,,,,
,00:00:16,92,,,,,,,,,
,00:00:17,92,,,,,,,,,
,00:00:18,92,,,,,,,,,
,00:00:19,93,,,,,,,,,
,00:00:20,93,,,,,,,,,
,00:00:21,93,,,,,,,,,
,00:00:22,93,,,,,,,,,
,00:00:23,94,,,,,,,,,
,00:00:24,94,,,,,,,,,
,00:00:25,94,,,,,,,,,
,00:00:26,94,,,,,,,,,
,00:00:27,94,,,,,,,,,
,00:00:28,95,,,,,,,,,
,00:00:29,95,,,,,,,,,
,00:00:30,95,,,,,,,,,
,00:00:31,94,,,,,,,,,
,00:00:32,92,,,,,,,,,
,00:00:33,91,,,,,,,,,
,00:00:34,91,,,,,,,,,
,00:00:35,89,,,,,,,,,
,00:00:36,89,,,,,,,,,
,00:00:37,87,,,,,,,,,
,00:00:38,87,,,,,,,,,
,00:00:39,88,,,,,,,,,
,00:00:40,88,,,,,,,,,
,00:00:41,89,,,,,,,,,
,00:00:42,89,,,,,,,,,
,00:00:43,86,,,,,,,,,
,00:00:44,86,,,,,,,,,
